Ano Lan‡amento;Ano EmissÆo NE CCor;UO - àrgÆo M ximo C¢digo;UO - àrgÆo M ximo Nome;àrgÆo UGE - àrgÆo M ximo C¢digo;àrgÆo UGE - àrgÆo M ximo Nome;Item Informa‡Æo;DESPESAS EMPENHADAS (CONTROLE EMPENHO);DESPESAS LIQUIDADAS (CONTROLE EMPENHO);DESPESAS PAGAS (CONTROLE EMPENHO);RESTOS A PAGAR PAGOS (PROC E N PROC)
2019;'-7;'-7;CODIGO INVALIDO;30000;MINISTERIO DA JUSTICA E SEGURANCA PUBLICA;;0,00;;;
2019;'-7;'-7;CODIGO INVALIDO;32000;MINISTERIO DE MINAS E ENERGIA;;0,00;;;
2019;2006;36000;MINISTERIO DA SAUDE;36000;MINISTERIO DA SAUDE;;;;;222.240,00
2019;2007;36000;MINISTERIO DA SAUDE;36000;MINISTERIO DA SAUDE;;;;;205.139,33
2019;2007;39000;MINISTERIO DA INFRAESTRUTURA;39000;MINISTERIO DA INFRAESTRUTURA;;;;;6.100,00
2019;2007;53000;MINISTERIO DO DESENVOLVIMENTO REGIONAL;53000;MINISTERIO DO DESENVOLVIMENTO REGIONAL;;;;;21.280.728,20
2019;2007;54000;MINISTERIO DO TURISMO;54000;MINISTERIO DO TURISMO;;;;;530.181,60
2019;2007;55000;MINISTERIO DA CIDADANIA;55000;MINISTERIO DA CIDADANIA;;;;;2.105.200,00
2019;2008;14000;JUSTICA ELEITORAL;14000;JUSTICA ELEITORAL;;;;;2.312,69
2019;2008;25000;MINISTERIO DA ECONOMIA;25000;MINISTERIO DA ECONOMIA;;;;;34.232,77
2019;2008;30000;MINISTERIO DA JUSTICA E SEGURANCA PUBLICA;30000;MINISTERIO DA JUSTICA E SEGURANCA PUBLICA;;;;;1.485.000,00
2019;2008;36000;MINISTERIO DA SAUDE;36000;MINISTERIO DA SAUDE;;;;;2.437.415,74
2019;2008;39000;MINISTERIO DA INFRAESTRUTURA;39000;MINISTERIO DA INFRAESTRUTURA;;;;;496.632,48
